"CSV file for plotted parameters
Date: Fri Aug 18 13:05:01 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.23280597,0.00000000
0.01666667,1.312e-24,0.00000000,-0.00272407,-7.314e-22,8.759e-25,-1.135e-24,-2.768e-18,3.315e-21,-4.297e-21,-1.661e-16,1.989e-19,-2.578e-19,3.438e-21,5.23280597,2.448e-25
0.03333333,-0.00000787,-0.00267024,-0.00508263,-0.28993278,0.00034874,-0.00043473,-0.30361690,0.00036405,-0.00045617,-18.21701376,0.02184276,-0.02737001,0.00037762,5.23280597,8.14486916
0.05000000,-0.00001509,-0.00525693,-0.01022827,-0.57267820,0.00064285,-0.00085456,-0.29609031,0.00030468,-0.00044195,0.45159490,-0.00355951,0.00084865,1.043e-09,-0.04292250,7.95093647
0.06666667,-0.00002157,-0.00777151,-0.01814980,-0.84935363,0.00087467,-0.00125970,-0.28973384,0.00023748,-0.00042725,0.38138859,-0.00402967,0.00087795,-0.00042598,-0.04838194,7.78932476
0.08333333,-0.00002730,-0.01022352,-0.02883780,-1.12089157,0.00104104,-0.00165104,-0.28435388,0.00016715,-0.00041274,0.32279740,-0.00421733,0.00086686,-0.00087355,-0.05086786,7.65464806
0.10000000,-0.00003229,-0.01262090,-0.04228440,-1.38807095,0.00114233,-0.00202955,-0.27978960,0.00009736,-0.00039860,0.27385683,-0.00418570,0.00084485,-0.00131992,-0.05077439,7.54241731
0.11666667,-0.00003658,-0.01497027,-0.05848298,-1.65154296,0.00118200,-0.00239633,-0.27590725,0.00003134,-0.00038506,0.23294085,-0.00395979,0.00080896,-0.00174494,-0.04840051,7.44889162
0.13333333,-0.00004025,-0.01727720,-0.07742797,-1.91185284,0.00116614,-0.00275259,-0.27259587,-0.00002820,-0.00037238,0.19868267,-0.00357123,0.00075802,-0.00213170,-0.04411554,7.37095354
0.15000000,-0.00004338,-0.01954633,-0.09911472,-2.16945811,0.00110286,-0.00309959,-0.26976362,-0.00007916,-0.00036078,0.16993548,-0.00305615,0.00069241,-0.00246700,-0.03833659,7.30600516
0.16666667,-0.00004608,-0.02178160,-0.12353928,-2.42474387,0.00100172,-0.00343862,-0.26733463,-0.00012006,-0.00035050,0.14573892,-0.00245285,0.00061382,-0.00274155,-0.03150347,7.25188154
0.18333333,-0.00004844,-0.02398635,-0.15069833,-2.67803558,0.00087309,-0.00377098,-0.26524646,-0.00015007,-0.00034171,0.12529045,-0.00179969,0.00052498,-0.00294991,-0.02405515,7.20677851
0.20000000,0.00052322,-0.02447247,-0.17843595,-1.28173019,-0.07534516,0.02341438,1.46218884,-0.07878632,0.03120973,103.64611769,-4.71817434,1.89308348,-0.08303140,-0.01640896,7.16918142
0.21666667,0.00053032,-0.04025134,-0.17938663,-0.81385277,-0.08731811,0.02359355,0.48995983,-0.01253255,0.00041687,-58.33378406,3.97021961,-1.84550899,0.05358744,9.33600110,7.13739594
0.23333333,0.00053614,-0.05852393,-0.17812876,-0.50981052,-0.10583365,0.02287473,0.31839357,-0.01939685,-0.00052873,-10.29397572,-0.41194661,-0.05670628,0.07768169,4.15956864,7.11130422
0.25000000,0.00053802,-0.07883215,-0.17500375,-0.30957786,-0.11919556,0.02288088,0.20968314,-0.01399216,0.00010650,-6.52262629,0.32422738,0.03812587,0.12368761,5.46552949,7.08955829
0.26666667,0.00045934,-0.09901918,-0.17451641,-0.04143054,-0.12486358,0.02040179,0.28080874,-0.00594347,-0.00257790,4.26753597,0.48290380,-0.16106005,0.17281343,5.53771551,7.07143996
