"CSV file for plotted parameters
Date: Fri Aug 18 12:55:26 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.01666667,1.312e-24,0.00000000,-0.00272407,-7.314e-22,8.759e-25,-1.135e-24,-2.768e-18,3.315e-21,-4.297e-21,-1.661e-16,1.989e-19,-2.578e-19,3.438e-21,0.00000000,2.448e-25
0.03333333,-0.00000787,-0.00267024,-0.00508263,-0.28993278,0.00034874,-0.00043473,-0.30361690,0.00036405,-0.00045617,-18.21701376,0.02184276,-0.02737001,0.00037762,0.00000000,8.14486916
0.05000000,-0.00001508,-0.00525693,-0.01022827,-0.57267820,0.00064280,-0.00085449,-0.29609031,0.00030463,-0.00044188,0.45159488,-0.00356260,0.00085266,1.043e-09,-0.04291552,7.95093647
0.06666667,-0.00002156,-0.00777151,-0.01814980,-0.84935363,0.00087454,-0.00125953,-0.28973384,0.00023739,-0.00042713,0.38138859,-0.00403181,0.00088093,-0.00042597,-0.04837555,7.78932476
0.08333333,-0.00002729,-0.01022352,-0.02883780,-1.12089157,0.00104081,-0.00165072,-0.28435388,0.00016705,-0.00041259,0.32279740,-0.00421810,0.00086891,-0.00087346,-0.05085567,7.65464805
0.10000000,-0.00003228,-0.01262090,-0.04228440,-1.38807095,0.00114200,-0.00202907,-0.27978960,0.00009727,-0.00039843,0.27385683,-0.00418537,0.00084609,-0.00131970,-0.05075771,7.54241730
0.11666667,-0.00003657,-0.01497027,-0.05848298,-1.65154296,0.00118160,-0.00239568,-0.27590725,0.00003126,-0.00038488,0.23294085,-0.00395865,0.00080954,-0.00174456,-0.04838104,7.44889161
0.13333333,-0.00004023,-0.01727720,-0.07742797,-1.91185284,0.00116568,-0.00275177,-0.27259587,-0.00002825,-0.00037219,0.19868267,-0.00356956,0.00075808,-0.00213114,-0.04409504,7.37095353
0.15000000,-0.00004336,-0.01954633,-0.09911472,-2.16945811,0.00110239,-0.00309860,-0.26976362,-0.00007917,-0.00036061,0.16993548,-0.00305420,0.00069208,-0.00246626,-0.03831676,7.30600515
0.16666667,-0.00004606,-0.02178160,-0.12353928,-2.42474388,0.00100126,-0.00343747,-0.26733463,-0.00012004,-0.00035034,0.14573892,-0.00245087,0.00061324,-0.00274064,-0.03148577,7.25188152
0.18333333,-0.00004842,-0.02398635,-0.15069833,-2.67803558,0.00087266,-0.00376968,-0.26524646,-0.00015002,-0.00034155,0.12529046,-0.00179787,0.00052426,-0.00294887,-0.02404076,7.20677850
0.20000000,0.00052324,-0.02447247,-0.17843595,-1.28173019,-0.07534568,0.02341576,1.46218884,-0.07878641,0.03120982,103.64611784,-4.71818273,1.89307961,-0.08303046,-0.01639871,7.16918141
0.21666667,0.00053022,-0.04025134,-0.17938664,-0.81385281,-0.08731121,0.02358868,0.48995979,-0.01252491,0.00041019,-58.33378644,3.97068365,-1.84591532,0.05359648,9.33602773,7.13739595
0.23333333,0.00053594,-0.05852392,-0.17812876,-0.50981046,-0.10582023,0.02286497,0.31839368,-0.01939009,-0.00053394,-10.29396674,-0.41199892,-0.05661787,0.07768324,4.15867984,7.11130424
0.25000000,0.00053772,-0.07883215,-0.17500375,-0.30957779,-0.11917631,0.02286702,0.20968315,-0.01398609,0.00010216,-6.52263213,0.32418532,0.03817829,0.12368066,5.46448250,7.08955831
0.26666667,0.00045897,-0.09901917,-0.17451641,-0.04143053,-0.12483969,0.02038483,0.28080869,-0.00593861,-0.00258116,4.26753216,0.48283160,-0.16099589,0.17279637,5.53651425,7.07143999
